,title,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
5714314286511882372,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,Mobile Time,Dinheiro pode sair de circulação na Suécia até 2030,Failing model: Plastic Card + App and Card + Wallet Players?,35 Innovative and Inspirational Website Designs in Banking,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento
5719793245136119929,Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,Nubank envia Pikachu para cliente que pediu desbloqueio de cartão e do Pokémon Go,"Bancos brasileiros aplicaram R$ 19,2 bilhões em esforços de TI em 2015",Mobile banking conquista o coração dos brasileiros,CMN regulamenta abertura de conta de depósito por meio eletrônico,Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais
5726008417498979736,[Framework] Lean IT Governance,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",[Tools] XMind Plus - Last Chance for students' 1$ gift,[Tools] See how the JIRA Portfolio team uses JIRA Portfolio,Onde a tecnologia e o cuidado se encontram? - Saúde Business,The omnichannel customer experience is poised to take off in regulated industries
5787934590133549357,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Google is quietly recording everything you say. Here's how to hear it,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery","Google anuncia MODE, pulseiras com tecnologia snap-and-swap para Android Wear | Google Discovery",Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Stay focused with Google Calendar event notifications in your browser
5795281877636738272,Microsoft's Open Source Love Affair Reaches New Heights,AI Revolution 101 - AI Revolution,Cognitive Services-Intelligence Applications | Microsoft Azure,Mycroft: The open source answer to natural language platforms,It's The Future,Microsoft's new online certification program kicks off with data science specialization | ZDNet
5806996498600223274,[Teste] Quer saber como está seu português? - Runrun.it Blog,Dicionário Priberam da Língua Portuguesa,"Android N Developer Preview 2, out today! | Android Developers Blog",Governo busca empresas para aprimorar Internet das Coisas no Brasil,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,"ConstraintLayout, Inside and Out: Part 1"
5816734694927565572,Bot Design Patterns,Cubr,IBM Watson e a revolução pela inteligência artificial | Udacity,Microsoft's Open Source Love Affair Reaches New Heights,Mycroft: The open source answer to natural language platforms,The next wave in software is open adoption software
5822211783543822544,Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,Google HR chief Laszlo Bock leaving to launch startup,Google employees are adding 'Lady' to their job titles to fight sexism,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,These gloves can convert sign language into spoken English
5831479026588423198,Google Unveiled A Partnership With Levi's To Create Smart Clothing,The Biggest list of 35 FREE UX Books,55 fornecedores de TI que apresentarão novidades no Ciab 2016,1% das empresas dominam 94% das receitas na App Store,7 lessons about finding the work you were meant to do,The Future of Business is Design
5843362068320522769,ClienteSA - Gente - Empatia e tecnologia,Former Google career coach shares a visual trick for figuring out what to do with your life,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",Lean IT is all about people - o Lean na TI é focado em pessoas,O que é liderança? Liderança é fazer a diversidade funcionar.,Qual é o valor da área de T&D na sua empresa?
5847042211895226591,Elastic Stack 5.0.0 Released,Chrome OS now has Material Design for the desktop,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br",An Overly Thorough Guide To Underused Android Libraries,Google is quietly making progress on one of its most jaw-dropping tech projects,The Skills You'll Need and the Salary You Can Expect as a Data Scientist
5847540986736720765,"Focada em nuvem, SAP dribla crise e cresce na América Latina | EXAME.com",Nubank envia Pikachu para cliente que pediu desbloqueio de cartão e do Pokémon Go,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,35 Innovative and Inspirational Website Designs in Banking,Nubank e Goldman fecham parceria de R$ 200 milhões,Nubank começa a testar seu programa de fidelidade - Empresas Tech
5849490334294127641,gotwarlost/istanbul,Resenha - A Chegada,The Rise And Growth of Ethereum Gets Mainstream Coverage,Um misterioso vórtice escuro surgiu sobre Netuno,Apenas US$ 59: Nintendo anuncia o relançamento do Nintendinho com 30 jogos na memória,UE não dá sossego ao Google. Novo alvo? O AdSense
5854206600849997966,The hardest thing in computer science,bliki: StranglerApplication,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications","GitHub broke my 1,000 day streak - Free Code Camp",The Java 8 API Design Principles,4 Blockchain Macro Trends: Where to Place Your Bets
5875183869203898283,Google is quietly recording everything you say. Here's how to hear it,"Inbox by Gmail: a better way to keep track of events, newsletters and links",Tango: See more with a new kind of phone,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Google is quietly making progress on one of its most jaw-dropping tech projects,Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business
5901067357946111913,Comprar roupas está ficando fora de moda no Reino Unido,Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,[Retro] Celebration Grids - Management 3.0,Program your way to your next grocery delivery,"The future of machine learning: 5 trends to watch around algorithms, cloud, IoT, and big data - GeekWire",Serious Business: Should Renewable Energy Continue Receiving Government Subsidies?
5906767912084571064,Whirlpool Vessi puts a microbrewery in your kitchen | News | Geek.com,Practical Frameworks for Beating Burnout,Good Software Takes Ten Years. Get Used To it.,Introducing JQL: A Query Language for Analytics,"Facebook sends a loud message about Messenger bots, but will we hear it?",Why Netflix thinks its personalized recommendation engine is worth $1 billion per year
5928346445655989915,[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,A Technical Primer On Causality,Mastering Software Development in R · Simply Statistics,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",Lessons from Becoming a Data-Driven Organization,Probabilistic Programming
5930806521893160184,Five things to include in your digital transformation playbook,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,Carrefour começa a operar e-commerce no Brasil | EXAME.com,How AWS came to be,Cognizant Named a Digital Transformation Leader in the Life Science Industry,The next stop on the road to revolution is ambient intelligence
5934557073194045393,Google's Cloud Investments are Finally Starting to Pay Off,Chat Smarter with Allo,Grow fast or die slow: Focusing on customer success to drive growth,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",These gloves can convert sign language into spoken English,The return of the machinery question
5940374562401786524,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,"As Artificial Intelligence Evolves, So Does Its Criminal Potential",Building immutable entities into Google Cloud Datastore,Citroën lança e-commerce de carros,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,O futuro das interfaces: Chatbots - Tableless
5949788789046720741,How to use Docker to run ASP.NET Core apps on Google App Engine,"Agility in the Cloud: Which ""As a Service"" Works for You?",Most Interesting APIs in 2016: Cognitive Computing,Writing good code: how to reduce the cognitive load of your code,Perfect Menu for Mobile Apps - UX Planet,Desenvolvimento de Aplicativos Mobile com Xamarin -
5962268176939710955,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Chat Smarter with Allo,Docker inside docker and overview about Jenkins 2,'Training for Google Apps' Is One Of Chrome's Best Kept Secrets - OMG! Chrome!,Google lags behind Amazon and Microsoft's cloud in one important area,Google's Cloud Investments are Finally Starting to Pay Off
5964888566269323942,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The economic essentials of digital strategy,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,The new tech talent you need to succeed in digital,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Mobile Time
5965544132537436406,Kubernetes,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,To bot or not to bot
5979676385148714519,"Here's what Viv looks like, the next generation AI assistant built by Siri creator",Threaded messaging is coming to Slack,DeepMind moves to TensorFlow,The AI business landscape,"Apple acquires Turi, a machine learning company","Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities"
6001127456099879458,Visual Studio Code Now Supports Debugging of iOS Web Apps,Ciclistas relatam roubos com agressividade na avenida dos Andradas,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,You're Asking Too Much of Chat Bots. Just Let Them Grow Up,10 Simple Habits of Insanely Productive People,Platform Overview
6015995473246774717,The need to lead in data and analytics,How to get the most from your agency relationships in 2017,Meio&Mensagem,Can Accenture Take Over Advertising?,"Zendesk's ""Automatic Answers"" taps machine learning, AI to generate bot-style email responses",Global Data Bank é lançado internacionalmente com operação no Brasil
6016376495317032228,Uma recepção eficiente,Caravel: Airbnb's data exploration platform - Airbnb Engineering & Data Science,"Bots, Messenger and the future of customer service",Enable secure mode on your web product | Intercom Docs,IBM Seeks to Simplify Graph with New Titan Service,Understanding the Twitter topic Tracker
6031953227014493100,O chefe é gay. E daí?,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,The Genderbread Person v3 | It's Pronounced Metrosexual,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,Introducing Ask a Female Engineer
6040574489860277999,"The new, scary face of auto insurance",The new tech talent you need to succeed in digital,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Liberty vai adotar telemetria e baratear seguro para bons motoristas,CNseg anuncia os finalistas da 6ª edição do Prêmio de Inovação em Seguros - Sonho Seguro
6044362651232258738,Cinco competências comportamentais para você ser um bom líder,How to augment your career with leadership coaching,Investimentos em coaching e mentoring aumentam nas empresas,Como resolver conflitos no ambiente corporativo us,What Science Tells Us About Leadership Potential,"Para neurociência, motivação não é fator principal em mudança de hábitos"
6062146090334604102,Serverless Data Sync in Web Apps with Bit Torrent,Cubr,Kubernetes,Eclipse Foundation Releases Neon,Introducing the Open Images Dataset,Mimo baby monitor helps parents get more sleep
6090089162789916215,O início problemático dos chatbots no Facebook Messenger,Por que o Walmart não é Walmart no Brasil,Marketplace,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",Moovit's new Facebook chatbot for transport proves v0 is not going to be good,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio
6094778865705471594,MOBILE TIME - Santander lança app dedicado aos clientes do ensino superior,"Sompo Seguros aproveita ""onda"" do Pokémon Go para alertar sobre segurança no trânsito | Sonho Seguro","""It's time for self-directed 'smart' investing"" - An Interview With Swanest CEO Silvan Schumacher - Smart Money Smart Living","XP lançará robô que seleciona melhores investimentos para clientes, diz CEO",The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Engineering Digital Banking Solutions Using UX Methodology
6104598399077154797,Como consumir conteúdo de qualidade em iOS - CocoaHeads BR,Swift Top 10 Articles For The Past Year (v.2017),Perfect Menu for Mobile Apps - UX Planet,20+ Docs and Guides for Front-end Developers (No. 9),Top 100 Best Blogs for iOS Developers to Learn and Gain Insights,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!
6109135203991499571,Um programador automatizou seu trabalho e passou 6 anos sem fazer nada | Tecnoblog,UX - Como identificar o comportamento do usuário? - Tableless,Readable Content Guides,Lists are the new search,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery,Fuchsia: Google está construindo um novo sistema operacional sem estrutura do Linux | Google Discovery
6152652267138213180,Staying one step ahead at Pixar: An interview with Ed Catmull,An operating model for company-wide agile development,Indian outsourcing specialists must reboot their strategies,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",7 lessons about finding the work you were meant to do,Accept questions from your audience when presenting in Google Slides
6153710684104095269,"Testes mostram um ótimo desempenho do ""Ubuntu on Windows""",Paragraphs,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,Google believes its superior AI will be the key to its future,Browser Trends December 2016: Mobile Overtakes Desktop,The five phases of migrating to Google Cloud Platform
6157037646878010131,Rede Agricultura de Precisão II,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,Saying �� to Allo and Duo: new apps for smart messaging and video calling,Brazilian Government and Ericsson to innovate together for Internet of Things,Cientistas trabalham em técnica que permite imprimir alimentos
6162786478796754684,O Brasil das fintechs: conheça startups nacionais que podem fazer você sair dos bancos,Visa lança desafio para startups de tecnologia - Startupi,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,"Amazon looking to buy Capital One? "" Banking Technology",MOBILE TIME - Nascem os primeiros chatbots brasileiros,Conversational Banking; from branches to bots. - Chatbots Magazine
6195056361889291497,Addressing Accessibility for the Web,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery,WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents,Características de Arquiteturas Evolutivas,TypeScript 2.0 is now available!
6198232071580299480,Empresas intensificam operações de barter diante da dificuldade de crédito,Will blockchain drive the fourth Industrial Revolution?,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,Bayer propõe comprar Monsanto para formar a maior agroquímica do mundo,Apple and Google Are Teaming Up to Kill Robocalls Forever,Cientistas trabalham em técnica que permite imprimir alimentos
6201946560186605500,MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,6 exemplos de como usar computação cognitiva | EXAME.com,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,The future of the shopping mall,Mobile Time,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries"
6215963711332976380,Global Data Bank é lançado internacionalmente com operação no Brasil,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,"Facebook says 10K+ developers are building chatbots, analytics coming",1% das empresas dominam 94% das receitas na App Store,Blockchain Will Be Used By 15% of Big Banks By 2017,The Biggest list of 35 FREE UX Books
6222001809679591440,Blockchain startup R3 cuts fund-raising target to $150 million: source,3 Big Blockchain Ideas MIT is Working on Right Now - CoinDesk,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,4 Blockchain Macro Trends: Where to Place Your Bets,Google e GFT firmam parceria para testes com foco em blockchain - Startupi,"Amazon looking to buy Capital One? "" Banking Technology"
6237433897543964784,"Facebook details its company-wide machine learning platform, FBLearner Flow",Building more accessible technology,Usability Heuristics for Bots - Chatbots Magazine,A new look for Google Play family of apps,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Getting Started with Activity & Fragment Transitions (part 1)
6241723672990266258,Spring DAO vs Spring ORM vs Spring JDBC,What the JIT!? Anatomy of the OpenJDK HotSpot VM,It's Time to Unlearn Everything You Know About Java Exceptions | Takipi Blog,The future of SaaS hosted git repository pricing,The five phases of migrating to Google Cloud Platform,Docker 1.12: Now with Built-in Orchestration!
6244532954645766056,3 Big Blockchain Ideas MIT is Working on Right Now - CoinDesk,Blockchain startup R3 cuts fund-raising target to $150 million: source,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Google e GFT firmam parceria para testes com foco em blockchain - Startupi,4 Blockchain Macro Trends: Where to Place Your Bets,"Amazon looking to buy Capital One? "" Banking Technology"
6245165134513326654,ASSISTA: show une 100 drones e uma orquestra sinfônica para quebrar recorde mundial | VIP,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,"Facebook sends a loud message about Messenger bots, but will we hear it?",Google lança Cloud Functions,Mapping the World of Music Using Machine Learning: Part 1 - iHeartRadio Tech Blog,My Top 9 Favorite Python Deep Learning Libraries - PyImageSearch
6247175512001835023,SpotHero is ready for the future of autonomous parking,Three Lessons for Design-Driven Success,As compras e os hábitos dos brasileiros no shopping | EXAME.com,Portal Abrasce - Conhecendo o frequentador de shopping center,The future of the shopping mall,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi
6285786669275987455,Dicionário Priberam da Língua Portuguesa,[Teste] Quer saber como está seu português? - Runrun.it Blog,"Android N Developer Preview 2, out today! | Android Developers Blog",Governo busca empresas para aprimorar Internet das Coisas no Brasil,"ConstraintLayout, Inside and Out: Part 1",Comparing IoT Platforms: Compare 4 IoT platform for IoT projects
6304895356046683527,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion",Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,7 Questions to Ask Before Your Next Digital Transformation,Artificial Intelligence's White Guy Problem,Clarifying the uses of artificial intelligence in the enterprise,The return of the machinery question
6317717254029043123,Apple makes it easier to for developers to upload app screenshots via iTunes Connect,Sam Newman - Backends For Frontends,Readable Content Guides,Dark Scrum,Making Sense of Unstructured Data with Google Cloud NL API,Post: Just Say mNo to Hungarian Notation
6340108943344143104,Text summarization with TensorFlow,AI Is Here to Help You Write Emails People Will Actually Read,The AI business landscape,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities","Here's what Viv looks like, the next generation AI assistant built by Siri creator",Teaching machines to predict the future
6369367631770966886,Como a Netflix influencia o que você vai assistir através de imagens,"Por dentro da M__A (ou, se você quiser, Mesa & Cadeira)",Introducing JQL: A Query Language for Analytics,To bot or not to bot,Lists are the new search,Behind Facebook Messenger's plan to be an app platform
6384824828701919724,14 Cool Drupal 8 modules for site builders | August 2016,Dries Buytaert: Advancing Drupal's web services,Google's new translation software is almost as good as human translators,Kickstarter 3D printer will print circuit boards as part of your designs,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,SAMSUNG OCEAN - Novas turmas de treinamento de 2017 - Embarcados
6412479507689487223,Microsoft's new online certification program kicks off with data science specialization | ZDNet,Cognitive Services-Intelligence Applications | Microsoft Azure,Top 10 Insurtech Trends for 2017 - Insurance Thought Leadership,AI Revolution 101 - AI Revolution,Microsoft's Open Source Love Affair Reaches New Heights,IBM's Watson aims to make hospital stays suck a whole lot less
6424668376409530281,Docker inside docker and overview about Jenkins 2,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Building immutable entities into Google Cloud Datastore,"Why Performance Matters, Part 2: Perception Management - Smashing Magazine",'Training for Google Apps' Is One Of Chrome's Best Kept Secrets - OMG! Chrome!,Kubernetes
6426224004219108539,"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas",Learn TypeScript in 30 Minutes,O homofóbico dentro de cada um,"Finally, CSS In JavaScript! Meet CSSX - Smashing Magazine","TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais
6437568358552101410,Tech in Brazil is booming despite the country's political troubles,When will AI and NLP actually turn Siri into your best friend?,"Building Chatbots with Node.js - Online Training - July 13 & 14, 2016",Skully officially admits it's over,"Twitter killed Magic Recs, the only useful bot there is",Microsoft Accelerator startup DefinedCrowd connects machine learning with native speakers
6463551093741815202,"Little girls doubt that women can be brilliant, study shows",O que é liderança? Liderança é fazer a diversidade funcionar.,Workplace diversity in Brazil: there's still a long way to go,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Para entender o Dia Internacional contra a Homofobia
6492104262016302259,"Código Google: Provedor de segurança ""Crypto"" descontinuado no Android N",Introducing LambCI - a serverless build system,On DRY and the cost of wrongful abstractions,Getting Started with Activity & Fragment Transitions (part 1),"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",Programação Reativa Funcional com RxJava
6504364365389213533,Honda e Softbank desenvolverão sistema de IA para ajudar os motoristas,Buscas on-line por carros têm expansão de 43% no 1º trimestre,Creating value in auto finance with vLendRight | Kevin Moseri,Apple and Google Are Teaming Up to Kill Robocalls Forever,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Google acquires deep search engine Kifi to enhance its Spaces group chat app
6519443272707698315,Two Different Sales Motions . . . .,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,7 Questions to Ask Before Your Next Digital Transformation,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,The return of the machinery question,An operating model for company-wide agile development
6521856301289868251,Notes on Reactive Programming Part I: The Reactive Landscape,Introduction to Spring REST Docs | Baeldung,Bridging the Communication Gap Between Developers and Architects - DaedTech,Taking Microservices Home - NGINX,How Kotlin became our primary language for Android - UPTech Team,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture
6524157088939139948,Practical VPC Design - AWS Startup Collection,AWS Certified Solutions Architect Professional – Study Guide – Domain 7.0: Scalability and Elasticity (15%),VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Migrating to the New Java 8 Date Time API | Baeldung,Firebase and Google Cloud: better together,How I Passed the AWS Solutions Architect Professional Exam
6527704900182256036,Plano de Evolução - nível de qualidade equipe Java -,LPIC-OT DevOps Engineer | Linux Professional Institute,What's the Best Programming Language to Learn in 2017?,Gartner: em 2020 não haverá mais aplicativos,WORKPEDIA 2016,Stackdriver Debugger now works with source code directly in GitHub and Bitbucket
6535950170823528902,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",AI Revolution 101 - AI Revolution,Google's Cloud Machine Learning service is now in public beta,Cognitive Services-Intelligence Applications | Microsoft Azure,Microsoft's Open Source Love Affair Reaches New Heights,The emerging Darwinian approach to analytics and augmented intelligence
6540624159201421051,Bradesco vai lançar novo banco digital: o Next.,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Google e GFT firmam parceria para testes com foco em blockchain - Startupi,Visa lança desafio para startups de tecnologia - Startupi,Mobile-Only Challenger Banks Are Shaping the Future of Financial Services Industry,Nubank pode fechar as portas se BC confirmar mudança amanhã
6569463984699537820,"Google anuncia Android Things, plataforma para a Internet das Coisas | Google Discovery",Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,Liberty vai adotar telemetria e baratear seguro para bons motoristas,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries"
6583734846225935852,"No ano em que a Apple completa 40 anos, confira a evolução do iPhone",X-Men | São Paulo vai receber exposição sobre filmes da saga,Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,Apple gives devs the chance to harness power of neural networks,Why Is Learning Drupal Hard?,How Apple Keyboards Lost a Logo and Windows PCs Gained One
6591221581057159843,Analyzing 50k fonts using deep neural networks,Google DeepMind researchers built a deep-learning system capable of learning from very little data.,Salesforce adds some artificial intelligence to customer service products,DeepMind moves to TensorFlow,A Neural Network that Dreams in Resumes - untapt blog,These gloves can convert sign language into spoken English
6614704926858202954,Introduction to Spring REST Docs | Baeldung,Taking Microservices Home - NGINX,How Kotlin became our primary language for Android - UPTech Team,"Globo.com Uses NGINX for Streaming Media to 500,000+ Viewers",The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Building Flipkart Lite: A Progressive Web App
6615662748793536194,Especial: O papel dos grandes provedores de TI na Rio 2016,Introducing JIRA Software for iPhone,"Fintechs can help incumbents, not just disrupt them",Adobe CQ/Adobe AEM,"No Brasil, '25% dos celulares ainda são 'Burrofones'",Governo brasileiro cria manual para contratação de cloud
6620060201676471218,Creating Compound Views on Android,"Fresco, sim! - Android Dev BR",StrictMode for Runtime Analysis on Android - Google Developers,UE não dá sossego ao Google. Novo alvo? O AdSense,AWS Certified Solutions Architect Professional – Study Guide – Domain 7.0: Scalability and Elasticity (15%),Achievement Unlocked : AWS Certified Solutions Architect Professional
6638782839540370044,Python Eats Into R as SAS Dominance Fades,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,"diagramas para entender, criar, inovar e empreender: 3","Three cultures, three continents and three lessons on leadership",B2B Ecommerce Growing; Becoming More Like B2C,Replace Lego's $190 Intelligent Brick with MIT's Scratch and a $40 Raspberry Pi
6642437212220341339,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,Governo define cronograma para plano nacional de Internet das Coisas,Curso mbed na KL25Z - Primeiros passos - Embarcados,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",Nova pulseira tecnológica avisa se você já bebeu demais
6643427232964983922,#iLookLikeAnEngineer: One Year Later,The Language of Beauty Ads,Promoting gender equality through emoji �� ��,Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",Criadas para casar
6644171916702621557,Criando ícones animados no Android,Tasting Dagger 2 on Android,Pury - New Way to Profile Your Android Application,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,Refactoring to Patterns em Java 8,Android - The dark side of Jack and Jill
6658257247913756761,Former NASA chief unveils $100 million neural chip maker KnuEdge,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,"Pinterest acquires the team behind Fleksy, a custom iOS and Android keyboard",Transfer Style But Not Color,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion",Blaise Agüera y Arcas: How computers are learning to be creative
6664082205633624486,Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Microservices Architecture on Google App Engine,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Reactive log stream processing with RxJava - Part I,Support Ended for Eclipse Android Developer Tools
6678691743269420670,Why Deep Learning Is Suddenly Changing Your Life,Terms Aggregation in Elastic Search,O RH chega ao board,2016 will be the year of conversational commerce - Chris Messina,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,How will bots make money? Here are 7 business models
6737022915341644067,You can now use MyCokeRewards with Apple Pay (and score a free Coke),"Have a Coke, take a photo and celebrate the Coke bottle's 100th anniversary using How-Old.net",Cia. Hering sincroniza diferentes marcas em um único portal de compras,Why Introverts Are Better at Sales Than Extroverts,Por que o Walmart não é Walmart no Brasil,Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business
6750029764020453263,"Microsoft anuncia Visual Studio para Mac, disponível ainda nesta semana | MacMagazine.com.br",Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,The Business Case for Progressive Web Apps,Effective learning through code workshops | Box Blog,Inteligência artificial do Google é capaz de descrever imagens | Google Discovery
6754313450809254838,Five priorities for competing in an era of digital globalization,Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks,"Google Save, serviço para salvar coisas da web, chega ao Brasil | Google Discovery",The White House Has Realized Artificial Intelligence Is Very Important,Physicists have discovered what makes neural networks so extraordinarily powerful,You won't recognize the new world of digital payments without this report
6757348772114374254,SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,When will AI and NLP actually turn Siri into your best friend?,"Siri: Once a Flake, Now Key to Apple's Future",Google's Cloud Investments are Finally Starting to Pay Off,"How to forecast demand with Google BigQuery, public datasets and TensorFlow | Google Cloud Big Data and Machine Learning Blog",Clarifying the uses of artificial intelligence in the enterprise
6766105865162331239,Stop Trying to Sound Smart When You're Writing,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",To bot or not to bot,Ordering coffee in Italy: the 10 commandments,Joel on Software,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
